name,equipment,movement_pattern,exercise_type,modality_tags,sport_tags,notes
Kettlebell Turkish Get-Up,Kettlebell,Lunge,Strength,Kettlebell;Full-Body,Kettlebell Sport,
Half Turkish Get-Up,Kettlebell,Lunge,Strength,Kettlebell;Full-Body,,
Kettlebell Windmill,Kettlebell,Hinge,Strength,Kettlebell;Core,Kettlebell Sport,
Kettlebell Around-the-World,Kettlebell,Core,Strength,Kettlebell,,
Kettlebell Halo,Kettlebell,Mobility,Mobility,Kettlebell;Shoulder,,
Kettlebell Figure-8,Kettlebell,Hinge,Conditioning,Kettlebell,,
Kettlebell Figure-8 to Hold,Kettlebell,Hinge,Conditioning,Kettlebell,,
Kettlebell Clean,Kettlebell,Hinge,Strength,Kettlebell;Olympic,CrossFit;Kettlebell Sport,
Dual-Kettlebell Clean,Kettlebell,Hinge,Strength,Kettlebell,CrossFit;Kettlebell Sport,
Kettlebell Clean and Jerk,Kettlebell,Hinge,Strength,Kettlebell;Olympic,CrossFit;Kettlebell Sport,
Kettlebell Clean and Push Press,Kettlebell,Hinge,Strength,Kettlebell,CrossFit,
Kettlebell Snatch,Kettlebell,Hinge,Strength,Kettlebell;Olympic,CrossFit;Kettlebell Sport,
Kettlebell Snatch to Overhead Carry,Kettlebell,Carry,Strength,Kettlebell,CrossFit,
Kettlebell Swing to Squat,Kettlebell,Hinge,Conditioning,Kettlebell,CrossFit,
Kettlebell Squat to Press,Kettlebell,Squat,Strength,Kettlebell;Full-Body,CrossFit,
Kettlebell Front Rack Squat,Kettlebell,Squat,Strength,Kettlebell,CrossFit,
Kettlebell Lateral Squat,Kettlebell,Squat,Strength,Kettlebell,,
Kettlebell Curtsy Lunge,Kettlebell,Lunge,Strength,Kettlebell,,
Kettlebell Lunge with Rotation,Kettlebell,Lunge,Strength,Kettlebell;Core,,
Kettlebell Reverse Lunge to Press,Kettlebell,Lunge,Strength,Kettlebell,CrossFit,
Kettlebell Step-up,Kettlebell,Step-up,Strength,Kettlebell,CrossFit,
Kettlebell Walking Lunge,Kettlebell,Lunge,Conditioning,Kettlebell,,
Kettlebell Suitcase Deadlift,Kettlebell,Hinge,Strength,Kettlebell,,
Kettlebell Romanian Deadlift,Kettlebell,Hinge,Strength,Kettlebell,,
Single-leg Kettlebell Deadlift,Kettlebell,Hinge,Strength,Kettlebell;Balance,,
Kettlebell Sumo Deadlift,Kettlebell,Hinge,Strength,Kettlebell,,
Kettlebell Good Morning,Kettlebell,Hinge,Strength,Kettlebell,,
Kettlebell Row,Kettlebell,Horizontal Pull,Strength,Kettlebell,,
Kettlebell Renegade Row,Kettlebell,Horizontal Pull,Strength,Kettlebell;Core,CrossFit,
Kettlebell Gorilla Row,Kettlebell,Horizontal Pull,Strength,Kettlebell,,
Kettlebell Suitcase Row,Kettlebell,Horizontal Pull,Strength,Kettlebell,,
Kettlebell Chest-Supported Row,Kettlebell,Horizontal Pull,Strength,Kettlebell,,
Kettlebell Floor Press,Kettlebell,Horizontal Push,Strength,Kettlebell,,
Kettlebell Alternating Floor Press,Kettlebell,Horizontal Push,Strength,Kettlebell,,
Kettlebell Bench Press,Kettlebell,Horizontal Push,Strength,Kettlebell,,
Kettlebell Incline Bench Press,Kettlebell,Horizontal Push,Strength,Kettlebell,,
Kettlebell See-Saw Press,Kettlebell,Vertical Push,Strength,Kettlebell,CrossFit,
Kettlebell Bottoms-Up Press,Kettlebell,Vertical Push,Strength,Kettlebell;Grip,,
Kettlebell Bottoms-Up Clean,Kettlebell,Hinge,Strength,Kettlebell;Grip,,
Kettlebell Bottoms-Up Carry,Kettlebell,Carry,Strength,Kettlebell;Grip,,
Kettlebell Overhead Carry,Kettlebell,Carry,Strength,Kettlebell,,
Double Overhead Kettlebell Carry,Kettlebell,Carry,Strength,Kettlebell,,
Kettlebell Rack Carry,Kettlebell,Carry,Strength,Kettlebell,,
Kettlebell Farmer's Walk,Kettlebell,Carry,Strength,Kettlebell;HYROX,HYROX,
Kettlebell Cross-Body Carry,Kettlebell,Carry,Strength,Kettlebell,,
Kettlebell Crush-Grip Push-up,Kettlebell,Horizontal Push,Strength,Kettlebell,,
Kettlebell Push-up to Row,Kettlebell,Push/Pull,Strength,Kettlebell,CrossFit,
Kettlebell Pullover,Kettlebell,Pull,Strength,Kettlebell,,
Kettlebell Russian Twist,Kettlebell,Core,Strength,Kettlebell,,
Kettlebell Side Bend,Kettlebell,Core,Strength,Kettlebell,,
Kettlebell Dead Bug,Kettlebell,Core,Strength,Kettlebell,,
Kettlebell Hollow Body Hold,Kettlebell,Core,Strength,Kettlebell,,
Kettlebell Sit-up,Kettlebell,Core,Strength,Kettlebell,,
Kettlebell V-Up,Kettlebell,Core,Strength,Kettlebell,,
Kettlebell Woodchopper,Kettlebell,Core,Strength,Kettlebell,,
Kettlebell Slasher-to-Halo,Kettlebell,Core,Strength,Kettlebell,,
Kettlebell Armbar,Kettlebell,Mobility,Mobility,Kettlebell;Shoulder,,
Kettlebell Surrender,Kettlebell,Full Body,Strength,Kettlebell,,
Kettlebell Deck Squat,Kettlebell,Squat,Strength,Kettlebell,,
Kettlebell Man Maker,Kettlebell,Full Body,Strength,Kettlebell,CrossFit,
Wall Sit,Bodyweight,Squat,Strength,Bodyweight,,
Split Squat Jump,Bodyweight,Lunge,Plyometric,Bodyweight,,
Jumping Lunge,Bodyweight,Lunge,Plyometric,Bodyweight,,
Box Step-up (Bodyweight),Bodyweight,Step-up,Strength,Bodyweight,,
Curtsy Lunge (Bodyweight),Bodyweight,Lunge,Strength,Bodyweight,,
Single-leg Box Squat,Bodyweight,Squat,Strength,Bodyweight;Calisthenics,Calisthenics,
Assisted Pistol Squat,Bodyweight,Squat,Strength,Bodyweight;Calisthenics,Calisthenics,
Shrimp Squat,Bodyweight,Squat,Strength,Bodyweight;Calisthenics,Calisthenics,
Jumping Pistol Squat,Bodyweight,Squat,Plyometric,Bodyweight;Calisthenics,Calisthenics,
Sissy Squat (Unloaded),Bodyweight,Squat,Strength,Bodyweight,,
Glute-Ham Walkout,Bodyweight,Hinge,Strength,Bodyweight,,
Hip Thrust (Bodyweight),Bodyweight,Hinge,Strength,Bodyweight,,
Single-leg Hip Thrust (Bodyweight),Bodyweight,Hinge,Strength,Bodyweight,,
Frog Pump,Bodyweight,Hinge,Strength,Bodyweight,,
Reverse Lunge to Knee Drive,Bodyweight,Lunge,Conditioning,Bodyweight,,
Step-back Lunge with Twist,Bodyweight,Lunge,Conditioning,Bodyweight,,
Lateral Step-up,Bodyweight,Step-up,Strength,Bodyweight,,
Calf Raise on Step,Bodyweight,Accessory,Strength,Bodyweight,,
Donkey Calf Raise,Bodyweight,Accessory,Strength,Bodyweight,,
Wall Calf Raise,Bodyweight,Accessory,Strength,Bodyweight,,
Decline Push-up (High Feet),Bodyweight,Horizontal Push,Strength,Bodyweight;Calisthenics,Calisthenics,
Archer Push-up,Bodyweight,Horizontal Push,Strength,Bodyweight;Calisthenics,Calisthenics,
Clap Push-up,Bodyweight,Horizontal Push,Plyometric,Bodyweight;Calisthenics,Calisthenics,
Wide-Grip Push-up,Bodyweight,Horizontal Push,Strength,Bodyweight;Calisthenics,Calisthenics,
Close-Grip Push-up,Bodyweight,Horizontal Push,Strength,Bodyweight;Calisthenics,Calisthenics,
Clock Push-up,Bodyweight,Horizontal Push,Conditioning,Bodyweight;Calisthenics,Calisthenics,
Planche Lean,Bodyweight,Horizontal Push,Skill,Calisthenics;Street Workout,Calisthenics;Street Workout,
Planche Push-up,Bodyweight,Horizontal Push,Skill,Calisthenics;Street Workout,Calisthenics;Street Workout,
Hindu Push-up,Bodyweight,Horizontal Push,Strength,Bodyweight,,
Divebomber Push-up,Bodyweight,Horizontal Push,Strength,Bodyweight,,
Spiderman Push-up,Bodyweight,Horizontal Push,Strength,Bodyweight;Calisthenics,Calisthenics,
Ring Push-up,Rings,Horizontal Push,Strength,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
Ring Archer Push-up,Rings,Horizontal Push,Strength,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
Ring Fly,Rings,Horizontal Push,Strength,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
Bench Dip (Feet on Floor),Bodyweight,Vertical Push,Strength,Bodyweight,,
Bench Dip (Feet Elevated),Bodyweight,Vertical Push,Strength,Bodyweight,,
Ring Dip - Forward Lean,Rings,Vertical Push,Strength,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
Assisted Ring Dip,Rings,Vertical Push,Strength,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
Isometric Dip Hold,Parallel Bars,Vertical Push,Strength,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
Mixed-Grip Pull-up,Pull-up Bar,Vertical Pull,Strength,Calisthenics;Street Workout,Calisthenics;Street Workout,
Archer Pull-up,Pull-up Bar,Vertical Pull,Strength,Calisthenics;Street Workout,Calisthenics;Street Workout,
Typewriter Pull-up,Pull-up Bar,Vertical Pull,Strength,Calisthenics;Street Workout,Calisthenics;Street Workout,
Commando Pull-up,Pull-up Bar,Vertical Pull,Strength,Calisthenics;Street Workout,Calisthenics;Street Workout,
Behind-the-Neck Pull-up,Pull-up Bar,Vertical Pull,Strength,Bodyweight,,
One-Arm Pull-up (Assisted),Pull-up Bar,Vertical Pull,Skill,Calisthenics;Street Workout,Calisthenics;Street Workout,
False-Grip Pull-up,Rings,Vertical Pull,Strength,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
Chest-to-Bar Pull-up (Strict),Pull-up Bar,Vertical Pull,Strength,CrossFit;Calisthenics,CrossFit;Calisthenics,
Inverted Row - Underhand,Bar or Rings,Horizontal Pull,Strength,Calisthenics,Calisthenics,
Inverted Row - Wide Grip,Bar or Rings,Horizontal Pull,Strength,Calisthenics,Calisthenics,
Ring Row (Supinated),Rings,Horizontal Pull,Strength,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
Rope Climb (Feet Clamp),Climbing Rope,Vertical Pull,Strength,CrossFit,CrossFit,
Rope Climb (Legless),Climbing Rope,Vertical Pull,Strength,CrossFit,CrossFit,
Towel Pull-up,Towel;Pull-up Bar,Vertical Pull,Strength,Calisthenics,Calisthenics,
Skin-the-Cat,Rings,Skill,Skill,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
German Hang,Rings,Mobility,Skill,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
Front Lever Tuck Hold,Pull-up Bar or Rings,Skill,Skill,Calisthenics;Street Workout,Calisthenics;Street Workout,
Front Lever Advanced Tuck,Pull-up Bar or Rings,Skill,Skill,Calisthenics;Street Workout,Calisthenics;Street Workout,
Back Lever Tuck Hold,Rings,Skill,Skill,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
Back Lever Full Hold,Rings,Skill,Skill,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
Hollow Rock,Bodyweight,Core,Strength,Gymnastics;CrossFit,Gymnastics;CrossFit,
V-Sit Hold,Bodyweight,Core,Skill,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
Straddle L-Sit,Parallettes,Core,Skill,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
Open Tuck L-Sit,Parallettes,Core,Skill,Calisthenics;Gymnastics,Calisthenics;Gymnastics,
Manna Progression Hold,Parallettes,Core,Skill,Gymnastics,Gymnastics,
Dragon Flag Eccentrics,Bench,Core,Strength,Calisthenics,Calisthenics,
Dragon Flag Full,Bench,Core,Strength,Calisthenics,Calisthenics,
Hip Raise on Bench,Bench,Core,Strength,Bodyweight,,
Jackknife Sit-up,Bodyweight,Core,Strength,Bodyweight,,
Bicycle Crunch,Bodyweight,Core,Strength,Bodyweight,,
Cross-Body Mountain Climber,Bodyweight,Core,Conditioning,Bodyweight,,
Plank with Shoulder Tap,Bodyweight,Core,Strength,Bodyweight,,
Single-Arm Single-Leg Plank,Bodyweight,Core,Strength,Bodyweight,,
Side Plank with Leg Lift,Bodyweight,Core,Strength,Bodyweight,,
Copenhagen Side Plank - Long Lever,Bench,Core,Strength,Bodyweight,,
Bear Crawl,Bodyweight,Locomotion,Conditioning,Bodyweight;CrossFit,CrossFit,
Crab Walk,Bodyweight,Locomotion,Conditioning,Bodyweight,,
Inchworm Walkout,Bodyweight,Locomotion,Conditioning,Bodyweight,,
Walkout to Push-up,Bodyweight,Locomotion,Conditioning,Bodyweight,,
Hollow Body Arch Rock,Bodyweight,Core,Conditioning,Gymnastics;CrossFit,Gymnastics;CrossFit,
Barbell Rack Pull,Barbell,Hinge,Strength,Powerlifting,Powerlifting,
Deficit Romanian Deadlift,Barbell,Hinge,Strength,Strength,,
Snatch-Grip Romanian Deadlift,Barbell,Hinge,Strength,Olympic,Olympic Weightlifting,
Barbell Hip Thrust - Single-Leg,Barbell,Hinge,Strength,Strength,,
Barbell Glute Bridge,Barbell,Hinge,Strength,Strength,,
Barbell Step-up,Barbell,Step-up,Strength,Strength,,
Barbell Walking Lunge (Front Rack),Barbell,Lunge,Strength,Strength;CrossFit,CrossFit,
Barbell Split Jerk,Barbell,Vertical Push,Strength,Olympic;CrossFit,Olympic Weightlifting;CrossFit,
Barbell Push Jerk,Barbell,Vertical Push,Strength,Olympic;CrossFit,Olympic Weightlifting;CrossFit,
Barbell Power Jerk,Barbell,Vertical Push,Strength,Olympic;CrossFit,Olympic Weightlifting;CrossFit,
Barbell Floor Row,Barbell,Horizontal Pull,Strength,Strength,,
Landmine Squat,Landmine,Squat,Strength,Landmine,,
Landmine Reverse Lunge,Landmine,Lunge,Strength,Landmine,,
Landmine Lateral Lunge,Landmine,Lunge,Strength,Landmine,,
Landmine Single-Arm Row,Landmine,Horizontal Pull,Strength,Landmine,,
Landmine Meadows Row,Landmine,Horizontal Pull,Strength,Landmine,,
Landmine Single-Arm Press (Half-Kneeling),Landmine,Vertical Push,Strength,Landmine,,
Dumbbell Sumo Squat,Dumbbell,Squat,Strength,Strength,,
Dumbbell Step-up with Knee Drive,Dumbbell,Step-up,Strength,Strength,,
Dumbbell Curtsy Lunge,Dumbbell,Lunge,Strength,Strength,,
Dumbbell RDL to Row,Dumbbell,Hinge,Strength,Strength,,
Dumbbell Renegade Row with Push-up,Dumbbell,Push/Pull,Strength,CrossFit,CrossFit,
Dumbbell Pullover to Press,Dumbbell,Push/Pull,Strength,Strength,,
Alternating Dumbbell Bench Press,Dumbbell,Horizontal Push,Strength,Strength,,
Dumbbell Cross-Body Hammer Curl,Dumbbell,Accessory,Strength,Bodybuilding,,
Dumbbell Zottman Curl,Dumbbell,Accessory,Strength,Bodybuilding,,
Dumbbell Concentration Curl,Dumbbell,Accessory,Strength,Bodybuilding,,
Dumbbell Reverse Fly (Incline),Dumbbell,Accessory,Strength,Bodybuilding,,
Dumbbell Y-Raise,Dumbbell,Accessory,Strength,Bodybuilding,,
Dumbbell Cuban Press,Dumbbell,Accessory,Strength,Bodybuilding,,
Dumbbell Tate Press,Dumbbell,Accessory,Strength,Bodybuilding,,
Dumbbell Floor Fly,Dumbbell,Accessory,Strength,Bodybuilding,,
Dumbbell Squeeze Press,Dumbbell,Horizontal Push,Strength,Bodybuilding,,
Farmer's Walk with Trap Bar,Trap Bar,Carry,Strength,Strongman,Strongman,
Suitcase Carry (Single Dumbbell),Dumbbell,Carry,Strength,Strongman,Strongman,
Front Rack Carry (Barbell),Barbell,Carry,Strength,Strongman,Strongman,
Sandbag Bear-Hug Carry,Sandbag,Carry,Strength,Strongman,Strongman,
Sandbag Shouldering,Sandbag,Hinge,Strength,Strongman,Strongman,
Sandbag Over-the-Shoulder Throw,Sandbag,Hinge,Plyometric,Strongman,Strongman,
Atlas Stone to Platform,Atlas Stone,Hinge,Strength,Strongman,Strongman,
Smith Machine Back Squat,Smith Machine,Squat,Strength,Machines,,
Smith Machine Split Squat,Smith Machine,Lunge,Strength,Machines,,
Smith Machine Hip Thrust,Smith Machine,Hinge,Strength,Machines,,
Smith Machine Bench Press,Smith Machine,Horizontal Push,Strength,Machines,,
Smith Machine Incline Bench Press,Smith Machine,Horizontal Push,Strength,Machines,,
Smith Machine Shoulder Press,Smith Machine,Vertical Push,Strength,Machines,,
Hack Squat - Reverse,Hack Squat Machine,Squat,Strength,Machines,,
Pendulum Squat Machine,Pendulum Machine,Squat,Strength,Machines,,
Vertical Leg Press Machine,Leg Press Machine,Squat,Strength,Machines,,
Reverse Hyper Machine,Reverse Hyper,Hinge,Strength,Machines,,
Cable Cross-Over - High to Low,Cable,Horizontal Push,Strength,Cable;Bodybuilding,,
Cable Cross-Over - Low to High,Cable,Horizontal Push,Strength,Cable;Bodybuilding,,
Single-Arm Cable Chest Press,Cable,Horizontal Push,Strength,Cable,,
Standing Cable Fly,Cable,Horizontal Push,Strength,Cable;Bodybuilding,,
Single-Arm Cable Lateral Raise,Cable,Accessory,Strength,Cable;Bodybuilding,,
Cable Rear-Delt Fly (Standing),Cable,Accessory,Strength,Cable;Bodybuilding,,
Cable Rope Overhead Triceps Extension,Cable,Accessory,Strength,Cable;Bodybuilding,,
Cable Overhead Curl,Cable,Accessory,Strength,Cable;Bodybuilding,,
Cable Rope Hammer Curl,Cable,Accessory,Strength,Cable;Bodybuilding,,
Cable Hip Flexion,Cable,Accessory,Strength,Cable,,
Cable Kickback (Glutes),Cable,Accessory,Strength,Cable;Bodybuilding,,
Cable Pull-through,Cable,Hinge,Strength,Cable,,
Cable Deadlift,Cable,Hinge,Strength,Cable,,
Cable Squat Row,Cable,Full Body,Strength,Cable,,
Lat Pulldown - Single-Arm,Cable,Vertical Pull,Strength,Cable,,
Machine Chest Fly,Machine,Horizontal Push,Strength,Machines;Bodybuilding,,
Machine Reverse Fly,Machine,Accessory,Strength,Machines;Bodybuilding,,
Hammer-Strength Row Machine,Machine,Horizontal Pull,Strength,Machines,,
Hammer-Strength Incline Press,Machine,Horizontal Push,Strength,Machines,,
Seated Machine Shoulder Press (Neutral),Machine,Vertical Push,Strength,Machines,
Standing Hip CARs,Bodyweight,Mobility,Mobility,Mobility,,
Shoulder CARs,Bodyweight,Mobility,Mobility,Mobility,,
Ankle CARs,Bodyweight,Mobility,Mobility,Mobility,,
90/90 Shin Box Switch,Bodyweight,Mobility,Mobility,Mobility,,
Frog Stretch,Bodyweight,Mobility,Mobility,Mobility,,
Pigeon Stretch,Bodyweight,Mobility,Mobility,Mobility,,
Thread-the-Needle Stretch,Bodyweight,Mobility,Mobility,Mobility,,
Brettzel Stretch,Bodyweight,Mobility,Mobility,Mobility,,
Jefferson Curl,Barbell or Dumbbell,Mobility,Mobility,Mobility,,
Single-Leg Balance Reach,Bodyweight,Balance,Mobility,Mobility,,
