catalog_order,id,name_en,name_ro,name_th,record_type,primary_category,all_categories,disciplines,hyrox_station_order,hyrox_station_name,equipment,muscles,movement_pattern,entity_type,prescription_mode,default_sets,default_reps_or_duration,unit,default_rest_seconds,per_side,loadable,increment_kg,can_fail_safely,needs_spotter,needs_safeties,contraindications,technical_complexity,coached_only,tempo_applies,tempo_class,review_status,evidence_source_ids,owner_csv_exact_match,owner_csv_disposition,owner_csv_source_name,english_aliases,notes
1,barbell_romanian_deadlift,Romanian Deadlift,Îndreptări românești,โรมาเนียนเดดลิฟต์,movement,weights,strength; weights,strength,,,Barbell · Plates,hamstrings; glutes; lowerBack; forearms,hip_hinge,resistance_dynamic,tempo_reps,4,8,reps,120,false,true,2.5,true,false,false,lumbar_flexion,3,false,true,hamstring_eccentric,internally_reviewed,,no,,,,
2,dumbbell_romanian_deadlift,Dumbbell Romanian Deadlift,Dumbbell Romanian Deadlift,Dumbbell Romanian Deadlift,movement,weights,strength; weights,strength,,,Dumbbells,hamstrings; glutes; lowerBack; forearms,hip_hinge,resistance_dynamic,tempo_reps,4,10,reps,90,false,true,2,true,false,false,lumbar_flexion,2,false,true,hamstring_eccentric,internally_reviewed,,no,,,,
3,single_leg_romanian_deadlift,Single-Leg Romanian Deadlift,Single-Leg Romanian Deadlift,Single-Leg Romanian Deadlift,movement,weights,strength; weights,strength,,,Dumbbells,hamstrings; glutes; lowerBack; obliques,hip_hinge,resistance_dynamic,tempo_reps,4,10,reps,90,true,true,2,true,false,false,lumbar_flexion,3,false,true,hamstring_eccentric,internally_reviewed,,no,,,,
4,conventional_deadlift,Conventional Deadlift,Îndreptări convenționale,เดดลิฟต์แบบปกติ,movement,weights,powerlifting; strength; weights,strength,,,Barbell · Plates,hamstrings; glutes; lowerBack; lats; neckTraps; forearms,hip_hinge,resistance_dynamic,tempo_reps,4,5,reps,150,false,true,2.5,true,false,false,lumbar_flexion,4,false,true,standard_compound,internally_reviewed,,no,,,,Highest systemic cost in the library. Never paired with another heavy hinge.
5,trap_bar_deadlift,Trap Bar Deadlift,Trap Bar Deadlift,Trap Bar Deadlift,movement,weights,strength; weights,strength,,,Trap Bar · Plates,glutes; quads; hamstrings; lowerBack; neckTraps,hip_hinge,resistance_dynamic,tempo_reps,4,7,reps,120,false,true,2.5,true,false,false,lumbar_flexion,2,false,true,hamstring_eccentric,internally_reviewed,,no,,,,"Easier to keep a neutral spine than a straight bar, so it is the default heavy hinge for a novice."
6,hip_thrust_barbell,Barbell Hip Thrust,Hip thrust cu bara,ฮิปทรัสต์ด้วยบาร์เบล,movement,weights,strength; weights,strength,,,Barbell · Plates · Bench,glutes; hamstrings,hip_hinge,resistance_dynamic,tempo_reps,4,10,reps,90,false,true,2.5,true,false,false,,3,false,true,glute_lockout,internally_reviewed,,no,,,Hip Thrust,"Setup is slow, which matters in a short session."
7,hip_thrust_dumbbell,Dumbbell Hip Thrust,Dumbbell Hip Thrust,Dumbbell Hip Thrust,movement,weights,strength; weights,strength,,,Dumbbells · Bench,glutes; hamstrings,hip_hinge,resistance_dynamic,tempo_reps,4,13,reps,60,false,true,2,true,false,false,,2,false,true,glute_lockout,internally_reviewed,,no,,,,
8,machine_hip_thrust,Machine Hip Thrust,Machine Hip Thrust,Machine Hip Thrust,movement,machine,strength; machine,strength,,,Hip Thrust Machine,glutes; hamstrings,hip_hinge,resistance_dynamic,tempo_reps,4,10,reps,90,false,true,5,true,false,false,,1,false,true,glute_lockout,internally_reviewed,,no,,,,
9,b_stance_hip_thrust,B-Stance Hip Thrust,B-Stance Hip Thrust,B-Stance Hip Thrust,movement,weights,strength; weights,strength,,,Dumbbells · Bench,glutes; hamstrings,hip_hinge,resistance_dynamic,tempo_reps,4,10,reps,60,true,true,2,true,false,false,,3,false,true,glute_lockout,internally_reviewed,,no,,,B-Stance or Single-Leg Hip Thrust,
10,glute_bridge,Glute Bridge,Glute Bridge,Glute Bridge,movement,calisthenics,strength; calisthenics,strength; calisthenics,,,Bodyweight,glutes; hamstrings,hip_hinge,resistance_dynamic,tempo_reps,3,16,reps,60,false,false,0,true,false,false,,1,false,true,glute_lockout,internally_reviewed,,no,,,,
11,frog_pump,Frog Pump,Frog Pump,Frog Pump,movement,calisthenics,strength; calisthenics,strength; calisthenics,,,Bodyweight,glutes,hip_hinge,resistance_dynamic,tempo_reps,3,28,reps,60,false,false,0,true,false,false,,1,false,true,glute_lockout,internally_reviewed,,yes,already_canonical,Frog Pump,,
12,back_extension,Back Extension,Back Extension,Back Extension,movement,strength,strength,strength,,,Back Extension Bench,lowerBack; glutes; hamstrings,hip_hinge,resistance_dynamic,tempo_reps,4,13,reps,60,false,true,2.5,true,false,false,,2,false,true,spinal_erector,internally_reviewed,,no,,,,
13,kettlebell_swing,Kettlebell Swing,Balans cu kettlebell,เคตเทิลเบลสวิง,movement,weights,strength; hiit; weights,strength; hiit; conditioning,,,Kettlebell,glutes; hamstrings; lowerBack; forearms; abs,hip_hinge,resistance_dynamic,quality_reps,4,16,reps,90,false,true,4,true,false,false,lumbar_flexion,3,false,false,hamstring_eccentric,internally_reviewed,,no,,,,
14,good_morning,Good Morning,Good Morning,Good Morning,movement,weights,strength; weights,strength,,,Barbell · Plates · Rack,hamstrings; lowerBack; glutes,hip_hinge,resistance_dynamic,tempo_reps,4,10,reps,120,false,true,2.5,true,false,false,lumbar_flexion,4,false,true,standard_compound,internally_reviewed,,no,,,,
15,backpack_rdl,Backpack Romanian Deadlift,Backpack Romanian Deadlift,Backpack Romanian Deadlift,movement,weights,strength; weights,strength,,,Backpack,hamstrings; glutes; lowerBack,hip_hinge,resistance_dynamic,tempo_reps,4,10,reps,90,false,true,2.5,true,false,false,lumbar_flexion,2,false,true,hamstring_eccentric,internally_reviewed,,no,,,Backpack RDL,Home substitute. Load is capped by what the bag holds.
