target_uuid	target_provider_id	target_name	target_preparation	donor_uuid	donor_source_key	donor_source_record_id	donor_name	delta_kcal	delta_protein_g	delta_carbs_g	delta_fat_g	key_vitamin_mineral_count	review_note
10000000-0000-4000-8000-000000000006	apex-common:10000000-0000-4000-8000-000000000006	Greek yoghurt, plain	as_sold	f21a9af6-1529-528b-9759-22889688c635	usda-sr-legacy	171304	Yogurt, Greek, plain, whole milk	0	0	0.08	0	22	Exact reviewed match.
10000000-0000-4000-8000-000000000011	apex-common:10000000-0000-4000-8000-000000000011	Cottage cheese	as_sold	65dd4adc-880d-5891-8db3-9e7028179324	usda-sr-legacy	172179	Cheese, cottage, creamed, large or small curd	0	0.02	-0.02	0	22	Exact reviewed match.
10000000-0000-4000-8000-000000000030	apex-curated:usda-fdc-171287	Whole egg, raw	as_sold	e247ad0c-51b0-5039-8f7c-4de5770b027b	usda-sr-legacy	171287	Egg, whole, raw, fresh	0	-0.04	0	0	22	Exact reviewed match.
10000000-0000-4000-8000-000000000031	apex-curated:usda-fdc-173424	Whole egg, hard-boiled	cooked	dc87c9c2-0ddf-571f-bc23-9271fc7c74a8	usda-sr-legacy	173424	Egg, whole, cooked, hard-boiled	0	-0.02	0	0.01	22	Exact reviewed match.
10000000-0000-4000-8000-000000000013	apex-curated:usda-fdc-2646170	Chicken breast, raw	as_sold	794e210a-04b1-528e-aea8-fd9f18c56356	usda-foundation	2646170	Chicken, breast, boneless, skinless, raw	0.034	0.025	0	0.004	8	Use ENERC_KCAL source_nutrient_code 2047 (Atwater General Factors) for fingerprint; do not select energy by row order.
20000000-0000-4000-8000-000000000196	apex-protocol:generic:chicken-breast-roasted	Chicken breast, skinless, roasted, no added oil	cooked	0755642f-3922-5dd2-889b-37164356c2c9	usda-sr-legacy	171477	Chicken, broilers or fryers, breast, meat only, cooked, roasted	0	0.02	0	0	22	Exact reviewed match.
20000000-0000-4000-8000-000000000200	apex-protocol:generic:chicken-thigh-raw	Chicken thigh, skinless, raw	as_sold	55201a4b-b226-5845-949e-e8e614b847f8	usda-sr-legacy	173627	Chicken, broilers or fryers, dark meat, thigh, meat only, raw	0	-0.04	0	0	21	Exact reviewed match.
20000000-0000-4000-8000-000000000207	apex-protocol:generic:chicken-thigh-roasted	Chicken thigh, skinless, roasted, no added oil	cooked	060a685f-76be-5e87-a0e9-034146f8bec0	usda-sr-legacy	172388	Chicken, broilers or fryers, thigh, meat only, cooked, roasted	0	-0.04	0	0	22	Exact reviewed match.
20000000-0000-4000-8000-000000000211	apex-protocol:generic:turkey-breast-skinless-raw	Turkey breast, skinless, raw	as_sold	4423e790-24d1-5daa-ae76-0eb405a501c0	usda-sr-legacy	174515	Turkey, retail parts, breast, meat only, raw	0	0.04	0	0	22	Exact reviewed match.
20000000-0000-4000-8000-000000000222	apex-protocol:generic:lean-ground-beef-raw	Ground beef, 95% lean, raw	as_sold	2e9b49b4-ca27-5982-a3b9-f2580124e337	usda-sr-legacy	171790	Beef, ground, 95% lean meat / 5% fat, raw	0	0.01	0	0	22	Exact reviewed match.
20000000-0000-4000-8000-000000000244	apex-protocol:generic:pork-tenderloin-raw	Pork tenderloin, lean, raw	as_sold	b99fb529-db02-5e2e-818c-6559ff592cbd	usda-sr-legacy	168249	Pork, fresh, loin, tenderloin, separable lean only, raw	0	-0.05	0	0	22	Exact reviewed match.
20000000-0000-4000-8000-000000000251	apex-protocol:generic:pork-tenderloin-roasted	Pork tenderloin, lean, roasted, no added oil	cooked	97fb54e9-8e87-559a-a8a6-f725149bcaf5	usda-sr-legacy	168250	Pork, fresh, loin, tenderloin, separable lean only, cooked, roasted	0	-0.03	0	0	22	Exact reviewed match.
20000000-0000-4000-8000-000000000266	apex-protocol:generic:duck-meat-raw	Duck meat, skinless, raw	as_sold	4a65f93f-1ed4-584c-9774-17d1bb48a512	usda-sr-legacy	172410	Duck, domesticated, meat only, raw	0	-0.02	0	0	22	Exact reviewed match.
20000000-0000-4000-8000-000000000273	apex-protocol:generic:duck-meat-roasted	Duck meat, skinless, roasted, no added oil	cooked	574393c2-1aa3-5084-9762-cca066bc3a46	usda-sr-legacy	172411	Duck, domesticated, meat only, cooked, roasted	0	-0.02	0	0	22	Exact reviewed match.
20000000-0000-4000-8000-000000000277	apex-protocol:generic:rabbit-meat-raw	Rabbit meat, raw	as_sold	3dd724cf-c1cf-5a8a-9e99-9b1c038db624	usda-sr-legacy	172521	Game meat, rabbit, domesticated, composite of cuts, raw	0	0.05	0	0	18	Exact reviewed match.
20000000-0000-4000-8000-000000000284	apex-protocol:generic:rabbit-meat-roasted	Rabbit meat, roasted, no added oil	cooked	768ffabd-cfa5-507c-b21f-8e40158e38c7	usda-sr-legacy	172522	Game meat, rabbit, domesticated, composite of cuts, cooked, roasted	0	-0.04	0	0	18	Exact reviewed match.
20000000-0000-4000-8000-000000000288	apex-protocol:generic:venison-raw	Venison, lean, raw	as_sold	44120317-39e8-5138-89a6-eed0bcd9d3b3	usda-sr-legacy	173855	Game meat, deer, raw	0	-0.04	0	0	20	Exact reviewed match.
20000000-0000-4000-8000-000000000295	apex-protocol:generic:venison-roasted	Venison, lean, roasted, no added oil	cooked	8213a4df-c53d-5723-b06f-4e35011d16dd	usda-sr-legacy	175085	Game meat, deer, cooked, roasted	0	0.01	0	0	14	Exact reviewed match.
20000000-0000-4000-8000-000000000299	apex-protocol:generic:bison-raw	Bison, lean, raw	as_sold	795fbcd1-7fab-5284-a9af-fea4cfe94311	usda-sr-legacy	173851	Game meat, bison, separable lean only, raw	0	0.02	0	0	13	Exact reviewed match.
20000000-0000-4000-8000-000000000306	apex-protocol:generic:bison-roasted	Bison, lean, roasted, no added oil	cooked	15f08eae-4fb0-548c-92d5-f2bb26e05993	usda-sr-legacy	173852	Game meat, bison, separable lean only, cooked, roasted	0	0.04	0	0	21	Exact reviewed match.
20000000-0000-4000-8000-000000000310	apex-protocol:generic:veal-loin-raw	Veal loin, raw	as_sold	9a2d3266-a4a9-58d2-825b-defec3f96fff	usda-sr-legacy	173823	Veal, loin, separable lean and fat, raw	0	-0.03	0	-0.03	22	Exact reviewed match.
20000000-0000-4000-8000-000000000317	apex-protocol:generic:veal-loin-roasted	Veal loin, roasted, no added oil	cooked	5c00b8d2-6fd4-5e1e-bd84-787e58214e85	usda-sr-legacy	173825	Veal, loin, separable lean and fat, cooked, roasted	0	0	0	0.02	22	Exact reviewed match.
20000000-0000-4000-8000-000000000321	apex-protocol:generic:goat-meat-raw	Goat meat, raw	as_sold	3dd3a7a0-6764-574b-a2de-52da2d278ee2	usda-sr-legacy	175303	Game meat, goat, raw	0	0	0	0	15	Exact reviewed match.
20000000-0000-4000-8000-000000000328	apex-protocol:generic:goat-meat-roasted	Goat meat, roasted, no added oil	cooked	1080cb74-b54f-559e-89f2-a6cbb4461a66	usda-sr-legacy	175304	Game meat, goat, cooked, roasted	0	0	0	0	21	Exact reviewed match.
20000000-0000-4000-8000-000000000077	apex-protocol:generic:sockeye-salmon-raw	Sockeye salmon fillet, raw	as_sold	30ff6c85-4a5b-59a6-8756-16032983bd72	usda-sr-legacy	173691	Fish, salmon, sockeye, raw	5	-0.05	0	-0.25	22	Exact reviewed match.
20000000-0000-4000-8000-000000000088	apex-protocol:generic:atlantic-cod-raw	Atlantic cod fillet, raw	as_sold	98145490-f76c-5017-986d-7ab2ac20f7ac	usda-sr-legacy	171955	Fish, cod, Atlantic, raw	0	0.01	0	0	22	Exact reviewed match.
20000000-0000-4000-8000-000000000099	apex-protocol:generic:tilapia-fillet-raw	Tilapia fillet, raw	as_sold	dd788c28-9ce2-5c36-a6bb-0d2319d4fd6d	usda-sr-legacy	175176	Fish, tilapia, raw	0	-0.02	0	0	22	Exact reviewed match.
20000000-0000-4000-8000-000000000110	apex-protocol:generic:yellowfin-tuna-raw	Yellowfin tuna steak, raw	as_sold	a3119e82-cd87-59d5-ac82-f76c4243d7cf	usda-sr-legacy	175159	Fish, tuna, fresh, yellowfin, raw	1	-0.3	0	0.1	22	Exact reviewed match.
20000000-0000-4000-8000-000000000121	apex-protocol:generic:rainbow-trout-raw	Rainbow trout, raw	as_sold	42bb1cbc-2701-5cf0-8dcd-225d383cfcbe	usda-sr-legacy	173717	Fish, trout, rainbow, farmed, raw	0	0.04	0	0	22	Exact reviewed match.
20000000-0000-4000-8000-000000000132	apex-protocol:generic:atlantic-mackerel-raw	Atlantic mackerel, raw	as_sold	14cbb31b-a924-5263-821c-d0a2a78dffdf	usda-sr-legacy	175119	Fish, mackerel, Atlantic, raw	0	0	0	-0.01	22	Exact reviewed match.
20000000-0000-4000-8000-000000000143	apex-protocol:generic:halibut-fillet-raw	Halibut fillet, raw	as_sold	6b563cf6-8c33-5da5-b7a4-71dd2b174ff6	usda-sr-legacy	174200	Fish, halibut, Atlantic and Pacific, raw	0	-0.04	0	0	22	Exact reviewed match.
20000000-0000-4000-8000-000000000154	apex-protocol:generic:swordfish-steak-raw	Swordfish steak, raw	as_sold	7f93f405-dac2-5921-bb1e-5117a549031c	usda-sr-legacy	173703	Fish, swordfish, raw	0	-0.04	0	0	22	Exact reviewed match.
20000000-0000-4000-8000-000000000165	apex-protocol:generic:alaska-pollock-raw	Alaska pollock fillet, raw	as_sold	34e35a00-1a8e-5ce0-b421-86e41e9ce08a	usda-foundation	2768188	Alaska Pollock, raw	2.4785	0.13	0.0565	0.1725	20	Exact reviewed match.
20000000-0000-4000-8000-000000000176	apex-protocol:generic:shrimp-raw	Shrimp, raw	as_sold	09948b25-c2fe-58a2-9dc1-4790e487c95f	usda-sr-legacy	175179	Crustaceans, shrimp, raw	0	0	0	0	8	Exact reviewed match.
20000000-0000-4000-8000-000000000024	apex-protocol:generic:shrimp-cooked	Shrimp, cooked	cooked	8a98166d-3ba5-5797-b520-202b796948d6	usda-sr-legacy	175180	Crustaceans, shrimp, cooked	0	-0.02	0	-0.02	8	Exact reviewed match.
20000000-0000-4000-8000-000000000182	apex-protocol:generic:squid-raw	Squid, raw	as_sold	7efacf6d-de06-5a02-bfa3-2ae5dd489ef5	usda-sr-legacy	174223	Mollusks, squid, mixed species, raw	0	-0.02	0	0	22	Exact reviewed match.
