cat	target_uuid	provider_id	target_name	prep	donor_uuid	source_key	source_record_id	donor_name	delta(kcal,P,C,F)	keyVM/24
fruit	20000000-0000-4000-8000-000000000001	apex-protocol:generic:cherries-fresh	Cherries, fresh	as_sold	5c4f16f9-8eb1-5539-9b09-27aa073c32eb	usda-sr-legacy	171719	Cherries, sweet, raw	(0,0,0,0)	22
fruit	10000000-0000-4000-8000-000000000029	apex-curated:usda-fdc-171705	Avocado, raw	as_sold	a8a2e9a5-754b-5021-96d7-b069c0137912	usda-sr-legacy	171705	Avocados, raw, all commercial varieties	(0,0,0,-0.04)	22
fruit	10000000-0000-4000-8000-000000000033	apex-curated:swiss-retail-blueberries-fresh-reference	Blueberries, fresh, Swiss retail reference	as_sold	ea6b115c-32d4-5755-8282-f66d861e0452	usda-sr-legacy	171711	Blueberries, raw	(0,0,0,0)	22
fruit	10000000-0000-4000-8000-000000000035	apex-curated:swiss-retail-raspberries-fresh-reference	Raspberries, fresh, Swiss retail reference	as_sold	925b5789-8eb9-5d4f-b334-bd46f54c652a	usda-sr-legacy	167755	Raspberries, raw	(0,0,0,0)	22
fruit	10000000-0000-4000-8000-000000000046	apex-curated:swiss-retail-strawberries-fresh-reference	Strawberries, fresh	as_sold	d52f7d80-8039-5b78-bb11-57bf3a75e9fa	usda-sr-legacy	167762	Strawberries, raw	(0,0,0,0)	22
fruit	10000000-0000-4000-8000-000000000048	apex-curated:swiss-retail-blackberries-fresh-reference	Blackberries, fresh	as_sold	93904de2-6dc1-5e95-964b-ab266eace2aa	usda-sr-legacy	173946	Blackberries, raw	(0,0,0,0)	22
fruit	10000000-0000-4000-8000-000000000049	apex-curated:swiss-retail-kiwi-fresh-reference	Kiwi fruit, fresh	as_sold	e817bb18-2c78-586e-83bc-bdcc9075c32c	usda-foundation	327046	Kiwifruit, green, raw	(-3,-0.08,-0.66,-0.08)	20
fruit	10000000-0000-4000-8000-000000000050	apex-curated:swiss-retail-banana-fresh-reference	Banana, fresh	as_sold	4d6ed9be-b8ef-5061-8bc5-6f7b51820b01	usda-sr-legacy	173944	Bananas, raw	(0,0,0,0)	22
fruit	10000000-0000-4000-8000-000000000051	apex-curated:swiss-retail-apple-fresh-reference	Apple with skin, fresh	as_sold	f888e1ec-7aab-51ed-93fc-f5e41322773b	usda-sr-legacy	171688	Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)	(0,0,0,0)	22
fruit	10000000-0000-4000-8000-000000000052	apex-curated:swiss-retail-orange-fresh-reference	Orange, fresh	as_sold	89876350-7d14-5052-a3d6-63e4eaeeb331	usda-sr-legacy	169097	Oranges, raw, all commercial varieties	(0,0,0,0)	22
fruit	10000000-0000-4000-8000-000000000053	apex-curated:swiss-retail-mango-fresh-reference	Mango, fresh	as_sold	151a227a-642d-5d7c-ad75-4432a933d4ba	usda-sr-legacy	169910	Mangos, raw	(0,0,0,0)	22
fruit	10000000-0000-4000-8000-000000000054	apex-curated:swiss-retail-pineapple-fresh-reference	Pineapple, fresh	as_sold	101c9342-2f34-5100-bf5d-b9634f28470c	usda-sr-legacy	169124	Pineapple, raw, all varieties	(0,0,0,0)	22
fruit	10000000-0000-4000-8000-000000000055	apex-curated:swiss-retail-papaya-fresh-reference	Papaya, fresh	as_sold	0f58fde5-9924-5114-88e0-bdcd775420db	usda-sr-legacy	169926	Papayas, raw	(0,0,0,0)	22
fruit	10000000-0000-4000-8000-000000000056	apex-curated:swiss-retail-grapes-fresh-reference	Grapes, fresh	as_sold	3058355e-a567-570a-b88e-23903410a273	usda-sr-legacy	174683	Grapes, red or green (European type, such as Thompson seedless), raw	(0,0,0,0)	22
fruit	10000000-0000-4000-8000-000000000057	apex-curated:swiss-retail-watermelon-fresh-reference	Watermelon, fresh	as_sold	c969731f-0f3f-5ee2-9a04-2fbeec128818	usda-sr-legacy	167765	Watermelon, raw	(0,0,0,0)	22
fruit	10000000-0000-4000-8000-000000000058	apex-curated:swiss-retail-pear-fresh-reference	Pear with skin, fresh	as_sold	6a1a7c51-08d3-5a11-9263-5ba6fbb2036a	usda-sr-legacy	169118	Pears, raw	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000332	apex-protocol:generic:broccoli-raw	Broccoli florets, raw	as_sold	0f483d83-427a-5985-ac64-6537296151b1	usda-sr-legacy	170379	Broccoli, raw	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000333	apex-protocol:generic:broccoli-boiled	Broccoli florets, boiled, no added oil	cooked	2ea7a32c-4ecb-5708-ad13-2f56f4bdff86	usda-sr-legacy	169967	Broccoli, cooked, boiled, drained, without salt	(0,0,0,0)	22
